 2000-Jan-09 10:55,*,t, 19 20 05.82, -22 09 56.4,  -26.778,-10.590,  0.98339202400676,  0.0423887,    0.0000,/?,    0.0000,   2.5287129,  82.116300,  0.0750535,         n.a.,    n.a.,
 2000-Jan-09 14:11,C,s, 19 20 41.19, -22 08 47.5,  -26.778,-10.590,  0.98340232279717,  0.2087567,    0.0000,/?,    0.0000,   2.5362644,  81.954638,  0.3909566,         n.a.,    n.a.,
 2000-Jan-10 07:39,*,r, 19 23 51.95, -22 02 34.4,  -26.778,-10.590,  0.98342156254442, -0.1174871,    0.0000,/?,    0.0000,   2.5344951,  81.907954,  -0.229181,         n.a.,    n.a.,
 2000-Jan-10 10:56,*,t, 19 24 27.44, -22 01 23.3,  -26.778,-10.590,  0.98341845873174,  0.0499057,    0.0000,/?,    0.0000,   2.5284684,  81.702489,  0.0893886,         n.a.,    n.a.,
 2000-Jan-10 14:13,C,s, 19 25 02.91, -22 00 10.5,  -26.778,-10.590,  0.98342943832975,  0.2169088,    0.0000,/?,    0.0000,   2.5361453,  81.543028,  0.4064563,         n.a.,    n.a.,
 2000-Jan-11 07:38,*,r, 19 28 12.72, -21 53 39.7,  -26.778,-10.590,  0.98345157303981, -0.1113920,    0.0000,/?,    0.0000,   2.5342442,  81.499212,  -0.217605,         n.a.,    n.a.,
 2000-Jan-11 10:56,*,t, 19 28 48.31, -21 52 24.8,  -26.778,-10.590,  0.98344895694077,  0.0567090,    0.0000,/?,    0.0000,   2.5281627,  81.293084,  0.1023675,         n.a.,    n.a.,
 2000-Jan-11 14:15,C,s, 19 29 24.06, -21 51 07.7,  -26.778,-10.590,  0.98346066699352,  0.2253185,    0.0000,/?,    0.0000,   2.5359698,  81.134927,  0.4224539,         n.a.,    n.a.,
 2000-Jan-12 07:37,*,r, 19 32 32.90, -21 44 19.5,  -26.778,-10.590,  0.98348579383564, -0.1049905,    0.0000,/?,    0.0000,   2.5339401,  81.093962,  -0.205447,         n.a.,    n.a.,
 2000-Jan-12 10:57,*,t, 19 33 08.76, -21 43 00.3,  -26.778,-10.590,  0.98348372133899,  0.0647995,    0.0000,/?,    0.0000,   2.5278090,  80.886230,  0.1178048,         n.a.,    n.a.,
 2000-Jan-12 14:17,C,s, 19 33 44.61, -21 41 39.3,  -26.778,-10.590,  0.98349617514349,  0.2340603,    0.0000,/?,    0.0000,   2.5357418,  80.730503,  0.4390911,         n.a.,    n.a.,
 2000-Jan-13 07:35,*,r, 19 36 52.28, -21 34 34.5,  -26.778,-10.590,  0.98352446044249, -0.0988292,    0.0000,/?,    0.0000,   2.5336506,  80.693346,  -0.193742,         n.a.,    n.a.,
 2000-Jan-13 10:57,*,t, 19 37 28.41, -21 33 10.9,  -26.778,-10.590,  0.98352290558168,  0.0723219,    0.0000,/?,    0.0000,   2.5274025,  80.484098,  0.1321642,         n.a.,    n.a.,
 2000-Jan-13 14:19,C,s, 19 38 04.53, -21 31 45.6,  -26.778,-10.590,  0.98353617172077,  0.2432064,    0.0000,/?,    0.0000,   2.5354664,  80.329920,  0.4565052,         n.a.,    n.a.,
 2000-Jan-14 07:34,*,r, 19 41 11.20, -21 24 24.0,  -26.778,-10.590,  0.98356772783772, -0.0915966,    0.0000,/?,    0.0000,   2.5332564,  80.295570,  -0.180004,         n.a.,    n.a.,
 2000-Jan-14 10:57,*,t, 19 41 47.42, -21 22 56.5,  -26.778,-10.590,  0.98356677551717,  0.0803075,    0.0000,/?,    0.0000,   2.5269547,  80.085844,  0.1474125,         n.a.,    n.a.,
 2000-Jan-14 14:21,C,s, 19 42 23.81, -21 21 26.9,  -26.778,-10.590,  0.98358090612206,  0.2528236,    0.0000,/?,    0.0000,   2.5351507,  79.933344,  0.4748221,         n.a.,    n.a.,
 2000-Jan-15 07:33,*,r, 19 45 29.46, -21 13 48.9,  -26.778,-10.590,  0.98361591219893, -0.0838566,    0.0000,/?,    0.0000,   2.5328289,  79.901774,  -0.165298,         n.a.,    n.a.,
 2000-Jan-15 10:58,*,t, 19 46 05.94, -21 12 17.0,  -26.778,-10.590,  0.98361564622658,  0.0897830,    0.0000,/?,    0.0000,   2.5264799,  79.690659,  0.1655075,         n.a.,    n.a.,
 2000-Jan-15 14:23,C,s, 19 46 42.41, -21 10 43.4,  -26.778,-10.590,  0.98363066339604,  0.2629667,    0.0000,/?,    0.0000,   2.5348037,  79.540938,  0.4941453,         n.a.,    n.a.,
 2000-Jan-16 07:31,*,r, 19 49 46.86, -21 02 49.8,  -26.778,-10.590,  0.98366934713571, -0.0761746,    0.0000,/?,    0.0000,   2.5324421,  79.513103,  -0.150696,         n.a.,    n.a.,
 2000-Jan-16 10:58,*,t, 19 50 23.60, -21 01 13.6,  -26.778,-10.590,  0.98366975673835,  0.0988491,    0.0000,/?,    0.0000,   2.5259781,  79.300662,  0.1828275,         n.a.,    n.a.,
 2000-Jan-16 14:26,C,s, 19 51 00.50, -20 59 35.1,  -26.778,-10.590,  0.98368586467370,  0.2742701,    0.0000,/?,    0.0000,   2.5345069,  79.152467,  0.5156643,         n.a.,    n.a.,
 2000-Jan-17 07:30,*,r, 19 54 03.74, -20 51 26.2,  -26.778,-10.590,  0.98372828661545, -0.0673247,    0.0000,/?,    0.0000,   2.5319813,  79.127753,  -0.133872,         n.a.,    n.a.,
 2000-Jan-17 10:58,*,t, 19 54 40.56, -20 49 46.0,  -26.778,-10.590,  0.98372945909981,  0.1084777,    0.0000,/?,    0.0000,   2.5254674,  78.915034,  0.2012252,         n.a.,    n.a.,
 2000-Jan-17 14:28,C,s, 19 55 17.71, -20 48 03.1,  -26.778,-10.590,  0.98374661580764,  0.2855250,    0.0000,/?,    0.0000,   2.5341328,  78.768920,  0.5371072,         n.a.,    n.a.,
 2000-Jan-18 07:28,*,r, 19 58 19.73, -20 39 39.3,  -26.778,-10.590,  0.98379309936143, -0.0585480,    0.0000,/?,    0.0000,   2.5315880,  78.747849,  -0.117180,         n.a.,    n.a.,
 2000-Jan-18 10:59,*,t, 19 58 56.97, -20 37 54.3,  -26.778,-10.590,  0.98379511009366,  0.1196001,    0.0000,/?,    0.0000,   2.5249674,  78.532993,  0.2224760,         n.a.,    n.a.,
 2000-Jan-18 14:30,C,s, 19 59 34.20, -20 36 07.4,  -26.778,-10.590,  0.98381332874571,  0.2972854,    0.0000,/?,    0.0000,   2.5337650,  78.390033,  0.5595097,         n.a.,    n.a.,
 2000-Jan-19 07:26,*,r, 20 02 35.00, -20 27 29.0,  -26.777,-10.590,  0.98386402967013, -0.0493294,    0.0000,/?,    0.0000,   2.5312117,  78.372564,  -0.099642,         n.a.,    n.a.,
 2000-Jan-19 10:59,*,t, 20 03 12.48, -20 25 39.5,  -26.777,-10.590,  0.98386688627831,  0.1301697,    0.0000,/?,    0.0000,   2.5244795,  78.156591,  0.2426746,         n.a.,    n.a.,
 2000-Jan-19 14:32,C,s, 20 03 49.96, -20 23 48.2,  -26.777,-10.590,  0.98388626361216,  0.3094415,    0.0000,/?,    0.0000,   2.5334166,  78.015963,  0.5826599,         n.a.,    n.a.,
 2000-Jan-20 07:25,*,r, 20 06 49.70, -20 14 55.1,  -26.777,-10.590,  0.98394126727685, -0.0392329,    0.0000,/?,    0.0000,   2.5307982,  78.001059,  -0.080431,         n.a.,    n.a.,
 2000-Jan-20 10:59,*,t, 20 07 27.26, -20 13 01.7,  -26.777,-10.590,  0.98394502494757,  0.1410039,    0.0000,/?,    0.0000,   2.5240197,  77.785020,  0.2633782,         n.a.,    n.a.,
 2000-Jan-20 14:35,C,s, 20 08 05.15, -20 11 05.4,  -26.777,-10.590,  0.98396573046233,  0.3224096,    0.0000,/?,    0.0000,   2.5331690,  77.646547,  0.6073280,         n.a.,    n.a.,
 2000-Jan-21 07:23,*,r, 20 11 03.49, -20 01 59.0,  -26.777,-10.590,  0.98402495560385, -0.0296186,    0.0000,/?,    0.0000,   2.5304831,  77.635427,  -0.062133,         n.a.,    n.a.,
 2000-Jan-21 11:00,*,t, 20 11 41.46, -20 00 00.6,  -26.777,-10.590,  0.98402967922471,  0.1528889,    0.0000,/?,    0.0000,   2.5235994,  77.417497,  0.2860851,         n.a.,    n.a.,
 2000-Jan-21 14:37,C,s, 20 12 19.41, -19 58 00.4,  -26.777,-10.590,  0.98405155157786,  0.3348291,    0.0000,/?,    0.0000,   2.5328827,  77.282542,  0.6309592,         n.a.,    n.a.,
 2000-Jan-22 07:21,*,r, 20 15 16.53, -19 48 40.5,  -26.777,-10.590,  0.98411506954911, -0.0200962,    0.0000,/?,    0.0000,   2.5302018,  77.274795,  -0.044007,         n.a.,    n.a.,
 2000-Jan-22 11:00,*,t, 20 15 54.74, -19 46 37.6,  -26.777,-10.590,  0.98412070854932,  0.1636703,    0.0000,/?,    0.0000,   2.5232052,  77.055959,  0.3066835,         n.a.,    n.a.,
 2000-Jan-22 14:39,C,s, 20 16 32.92, -19 44 32.9,  -26.777,-10.590,  0.98414381115318,  0.3470857,    0.0000,/?,    0.0000,   2.5326278,  76.923722,  0.6542692,         n.a.,    n.a.,
 2000-Jan-23 07:19,*,r, 20 19 28.81, -19 34 59.9,  -26.777,-10.590,  0.98421149316220, -0.0108441,    0.0000,/?,    0.0000,   2.5299490,  76.919252,  -0.026395,         n.a.,    n.a.,
 2000-Jan-23 11:00,*,t, 20 20 07.25, -19 32 52.5,  -26.777,-10.590,  0.98421803781462,  0.1741510,    0.0000,/?,    0.0000,   2.5228373,  76.699574,  0.3267049,         n.a.,    n.a.,
 2000-Jan-23 14:42,C,s, 20 20 45.85, -19 30 42.7,  -26.777,-10.590,  0.98424250588248,  0.3595701,    0.0000,/?,    0.0000,   2.5324704,  76.569944,  0.6779812,         n.a.,    n.a.,
 2000-Jan-24 07:17,*,r, 20 23 40.33, -19 20 57.6,  -26.776,-10.590,  0.98431401916960, -0.0019974,    0.0000,/?,    0.0000,   2.5297153,  76.568871,  -0.009554,         n.a.,    n.a.,
